plateNumber,plateState,plateCountry,plateType,domestic,yearOfRegistration,vehicleMake,vehicleModel,vehicleColor,vehicleClass,tollingMethod,hasTag,tagAgencyId,tagId,item_type,tag_type,mounting,tag_delivery_method,tag_alias_name,shippingAddress
CA 3511,MI,USA,PERSONAL,False,2011,Ford,Escape,Green,2 Axle,TAG,False,AGN892,TAG3806,HARD_CASE_TAG,STICKER,NO,HAND_TO_CUSTOMER,Lindsey,"6933 Mathew Plaza, Mathewmouth, SC 73727"
AR 2386,OH,USA,PERSONAL,True,2016,Nissan,Al-tima,White,5 Axle,VIDEO,,,,,,,,,
MA 7884,VA,USA,COMMERCIAL,True,2016,Mercedes-Benz,S-Class,Black,4 Axle,TAG,False,AGN355,TAG4849,INTEGRATED,MOUNTED,NO,MAIL_TO_CUSTOMER,Phillip,"8543 Doyle Mills Apt. 387, North David, MO 09499"
DE 4603,IL,USA,ELECTRIC,False,2022,Chevrolet,Equinox,Red,3 Axle,TAG,False,AGN569,TAG5868,INTEGRATED,STICKER,NO,HAND_TO_CUSTOMER,Jennifer,"7422 Taylor Corner, West Cherylshire, AR 42357"
IN 2399,IL,USA,ELECTRIC,True,2023,Kia,Forte,Green,3 Axle,TAG,False,AGN833,TAG1103,LICENSE_PLATE_TAG,STICKER,YES,HAND_TO_CUSTOMER,Karen,"1277 James Pike, Klineland, LA 56073"
UT 5007,CA,USA,COMMERCIAL,False,2018,Audi, Q7,Red,3 Axle,VIDEO,,,,,,,,,
NE 9377,MA,USA,PERSONAL,True,2008,Toyota,Tacoma,Black,6-plus Axles,TAG,True,AGN634,TAG3397,INTEGRATED,MOUNTED,NO,MAIL_TO_CUSTOMER,Timothy,"254 Hill Summit Apt. 597, East Ashley, RI 42934"
NE 7141,NY,USA,COMMERCIAL,False,2001,Subaru	,Cross-trek,White,2 Axle,TAG,True,AGN151,TAG9665,INTEGRATED,STICKER,YES,HAND_TO_CUSTOMER,Brandon,"71944 Bryan Plains, Lake Eileenside, WI 44444"
RH 3810,CA,USA,PERSONAL,True,2008,Ford,Mustang,Black,4 Axle,TAG,True,AGN339,TAG1070,STICKER_TAG,STICKER,NO,CUSTOMER_ALREADY_HAS_TRANSPONDER,Anne,"9674 Holland Falls Apt. 992, Port Kenneth, AL 22924"
CO 6116,IL,USA,COMMERCIAL,True,2010,Lexus,RX,Green,3 Axle,VIDEO,,,,,,,,,
NO 8008,TX,USA,ELECTRIC,True,2022,BMW,5 Series,Black,4 Axle,TAG,False,AGN649,TAG4527,HARD_CASE_TAG,STICKER,NO,HAND_TO_CUSTOMER,Carlos,"527 Jeremy Highway Suite 256, South Jamesfurt, PW 87161"
CO 7845,TX,USA,COMMERCIAL,False,2019,Chevrolet, Malibu,Blue,5 Axle,TAG,True,AGN413,TAG1619,HARD_CASE_TAG,MOUNTED,NO,CUSTOMER_ALREADY_HAS_TRANSPONDER,Jonathan,"41879 Cheryl Run, South Mark, OH 10634"
CO 5640,AL,USA,PERSONAL,True,2000,Toyota,RAV4,Black,6-plus Axles,TAG,False,AGN434,TAG6308,LICENSE_PLATE_TAG,MOUNTED,YES,HAND_TO_CUSTOMER,Melissa,"7282 Lynch Drive Apt. 761, North Chad, ID 77980"
MA 5046,CO,USA,COMMERCIAL,True,2012,Kia,Forte,Black,3 Axle,VIDEO,,,,,,,,,
AR 9630,FL,USA,PERSONAL,False,2012,Kia,Sport-age,White,2 Axle,TAG,True,AGN254,TAG1578,STICKER_TAG,STICKER,NO,HAND_TO_CUSTOMER,Selena,"17635 Smith Mission, South Megan, NM 07277"
WI 701,WA,USA,COMMERCIAL,False,2013,Chevrolet,Corvette,Black,3 Axle,TAG,False,AGN754,TAG6603,LICENSE_PLATE_TAG,MOUNTED,NO,MAIL_TO_CUSTOMER,Robert,"45855 Velasquez Club, East Vanessa, HI 07544"
MO 9237,CO,USA,COMMERCIAL,True,2017,Audi,A6,Black,4 Axle,TAG,False,AGN972,TAG2702,HARD_CASE_TAG,MOUNTED,YES,HAND_TO_CUSTOMER,Matthew,"USNV Edwards, FPO AP 45798"
NE 8940,WA,USA,ELECTRIC,False,2013,BMW,3 Series,Red,4 Axle,VIDEO,,,,,,,,,
MI 6398,OR,USA,ELECTRIC,False,2004,Nissan,Pathfinder,White,2 Axle,TAG,False,AGN960,TAG5462,HARD_CASE_TAG,MOUNTED,YES,HAND_TO_CUSTOMER,James,"3762 Jefferson Stravenue, South Candice, IN 15407"
IL 2718,AK,USA,ELECTRIC,True,2013,Chevrolet,Corvette,Black,6-plus Axles,TAG,True,AGN419,TAG2210,LICENSE_PLATE_TAG,MOUNTED,NO,HAND_TO_CUSTOMER,Marcus,"4224 Chavez Bypass, South Josephmouth, NJ 32269"
MI 935,MD,USA,ELECTRIC,False,2014,Honda,Accord,White,6-plus Axles,TAG,True,AGN841,TAG5703,HARD_CASE_TAG,MOUNTED,NO,HAND_TO_CUSTOMER,Patrick,"3005 Andrews Lakes Suite 167, West David, MO 70274"
VI 5187,OR,USA,PERSONAL,True,2016,Lexus,NX,White,6-plus Axles,VIDEO,,,,,,,,,
AL 3228,MI,USA,COMMERCIAL,False,2016,BMW,3 Series,Black,2 Axle,TAG,True,AGN481,TAG1228,HARD_CASE_TAG,MOUNTED,NO,MAIL_TO_CUSTOMER,Larry,"608 Kevin Locks Suite 816, Austinbury, TX 27696"
MI 2008,MD,USA,COMMERCIAL,True,2018,Nissan,Al-tima,Blue,3 Axle,TAG,False,AGN285,TAG9143,HARD_CASE_TAG,MOUNTED,NO,HAND_TO_CUSTOMER,Jeremy,"6275 David Spur, East Taylorfort, MD 13603"
AL 8729,IL,USA,ELECTRIC,True,2022,BMW,X3,Blue,4 Axle,TAG,True,AGN121,TAG8625,STICKER_TAG,MOUNTED,NO,MAIL_TO_CUSTOMER,Deborah,"638 Lisa Cliff, Alexville, MT 95818"
AL 1766,MD,USA,ELECTRIC,False,2019,Volkswagen,Jetta,White,4 Axle,VIDEO,,,,,,,,,
LO 2796,UT,USA,PERSONAL,False,2017,Tesla,Model S,White,4 Axle,TAG,False,AGN261,TAG3585,INTEGRATED,STICKER,YES,CUSTOMER_ALREADY_HAS_TRANSPONDER,Gina,"800 Brian Camp, Lake Joshua, IN 44242"
AR 3337,NC,USA,PERSONAL,False,2021,BMW,3 Series,Blue,5 Axle,TAG,True,AGN429,TAG6276,STICKER_TAG,STICKER,NO,HAND_TO_CUSTOMER,Edward,"17623 Johnson Spring, Gloverstad, VA 10392"
MA 9756,TN,USA,ELECTRIC,True,2008,Volkswagen,Pass-at,Green,4 Axle,TAG,False,AGN877,TAG8324,HARD_CASE_TAG,MOUNTED,NO,CUSTOMER_ALREADY_HAS_TRANSPONDER,Christopher,"96886 Anthony Centers, Markborough, IA 87834"
PE 9879,UT,USA,ELECTRIC,True,2004,Tesla,Model Y,Black,6-plus Axles,VIDEO,,,,,,,,,
AL 2911,CA,USA,ELECTRIC,True,2005,BMW,5 Series,Blue,4 Axle,TAG,False,AGN372,TAG1837,STICKER_TAG,STICKER,NO,CUSTOMER_ALREADY_HAS_TRANSPONDER,Harold,"9651 James Locks Apt. 545, Carlosfort, MN 20032"
MI 4800,OR,USA,COMMERCIAL,False,2011,Honda,HR-V,Green,2 Axle,TAG,False,AGN838,TAG6537,STICKER_TAG,STICKER,NO,CUSTOMER_ALREADY_HAS_TRANSPONDER,Henry,"403 Rhonda Square, Lake Anthony, RI 58476"
MO 4475,CO,USA,COMMERCIAL,False,2015,Honda,Accord,Green,5 Axle,TAG,False,AGN600,TAG1512,INTEGRATED,STICKER,YES,CUSTOMER_ALREADY_HAS_TRANSPONDER,James,"8860 Donald Pines, New Evelyn, NM 24755"
MO 4316,NJ,USA,PERSONAL,True,2011,Toyota,Corolla,White,5 Axle,VIDEO,,,,,,,,,
MI 2466,AK,USA,ELECTRIC,False,2008,Lexus,RX,Black,3 Axle,TAG,True,AGN166,TAG1636,LICENSE_PLATE_TAG,MOUNTED,NO,HAND_TO_CUSTOMER,David,"0646 Katherine Rest Suite 417, Tuckertown, NH 57073"
SO 1884,TN,USA,PERSONAL,True,2005,BMW,3 Series,Blue,4 Axle,TAG,False,AGN705,TAG2496,INTEGRATED,MOUNTED,YES,MAIL_TO_CUSTOMER,Amanda,"42504 Marshall Mills, South Kara, MI 38332"
UT 4097,UT,USA,COMMERCIAL,False,2022,Lexus,RX,Black,4 Axle,TAG,False,AGN402,TAG1963,INTEGRATED,STICKER,NO,CUSTOMER_ALREADY_HAS_TRANSPONDER,Deborah,"4935 Brianna Court, Ritamouth, FL 43668"
AL 8187,CA,USA,ELECTRIC,False,2011,Nissan,Sen-tra,Black,5 Axle,VIDEO,,,,,,,,,
DE 3900,CA,USA,ELECTRIC,True,2004,Lexus,GS,Green,3 Axle,TAG,False,AGN483,TAG7289,HARD_CASE_TAG,STICKER,NO,MAIL_TO_CUSTOMER,Peter,"871 Thomas Hill Apt. 682, Port Michael, MT 81746"
TE 2400,IL,USA,ELECTRIC,False,2008,Toyota,RAV4,Black,2 Axle,TAG,False,AGN344,TAG6282,INTEGRATED,STICKER,YES,HAND_TO_CUSTOMER,Lindsay,"89055 Jonathan Inlet, Clarkeview, GA 58784"
MI 7506,TN,USA,COMMERCIAL,True,2005,Subaru	,Outback,White,3 Axle,TAG,False,AGN881,TAG3061,LICENSE_PLATE_TAG,STICKER,YES,MAIL_TO_CUSTOMER,Julie,"4426 Pineda Path Apt. 984, North Maryshire, WY 55935"
CO 6593,AZ,USA,ELECTRIC,False,2003,Subaru,WRX,Black,4 Axle,VIDEO,,,,,,,,,
MI 5616,AK,USA,PERSONAL,True,2017,Lexus,GS,White,5 Axle,TAG,True,AGN908,TAG7701,LICENSE_PLATE_TAG,MOUNTED,YES,MAIL_TO_CUSTOMER,Catherine,"5291 Mary Brook, Tapiafort, IN 47904"
MI 9113,FL,USA,COMMERCIAL,False,2001,Ford,Mustang,Green,6-plus Axles,TAG,True,AGN115,TAG7311,LICENSE_PLATE_TAG,MOUNTED,NO,MAIL_TO_CUSTOMER,Anna,"200 Foster Station Suite 892, Thomasstad, MO 91565"
MA 2519,MA,USA,PERSONAL,True,2006,Mercedes-Benz,C-Class,Black,5 Axle,TAG,True,AGN307,TAG7643,INTEGRATED,STICKER,NO,CUSTOMER_ALREADY_HAS_TRANSPONDER,Stephanie,"638 Alexis Lights Suite 302, East Steventon, FL 05172"
NE 1864,WA,USA,ELECTRIC,False,2010,Nissan,Sen-tra,Black,5 Axle,VIDEO,,,,,,,,,
CA 5615,AK,USA,ELECTRIC,True,2014,Subaru	,Outback,Black,6-plus Axles,TAG,True,AGN448,TAG9244,LICENSE_PLATE_TAG,STICKER,YES,CUSTOMER_ALREADY_HAS_TRANSPONDER,Nancy,"2649 Sexton Manor Suite 482, New Tracy, NY 89467"
MI 6693,NC,USA,ELECTRIC,True,2017,Subaru,Ascent,White,3 Axle,TAG,True,AGN553,TAG4400,STICKER_TAG,STICKER,YES,CUSTOMER_ALREADY_HAS_TRANSPONDER,Jeffrey,"2643 Brown Heights Suite 021, East Erik, CA 40419"
NE 2651,TN,USA,PERSONAL,True,2008,Subaru	,Im-pre-za,Red,6-plus Axles,TAG,False,AGN500,TAG2079,INTEGRATED,MOUNTED,NO,CUSTOMER_ALREADY_HAS_TRANSPONDER,Brandy,"663 Holt Ridges, Martinezport, OH 59267"
MI 5660,WA,USA,COMMERCIAL,True,2007,Lexus,NX,Blue,5 Axle,VIDEO,,,,,,,,,
OK 6076,FL,USA,ELECTRIC,False,2013,Subaru	,Cross-trek,Black,6-plus Axles,TAG,False,AGN901,TAG9079,HARD_CASE_TAG,MOUNTED,YES,MAIL_TO_CUSTOMER,Maria,"53207 Golden Mountains, Port Elizabeth, WI 32899"
FL 9536,MA,USA,COMMERCIAL,False,2002,Audi,A6,White,6-plus Axles,TAG,True,AGN487,TAG5528,INTEGRATED,MOUNTED,YES,HAND_TO_CUSTOMER,Eric,"016 Jennifer Prairie, East Francesville, KY 07676"
WA 9399,PA,USA,ELECTRIC,False,2012,Toyota,Tacoma,Green,5 Axle,TAG,True,AGN414,TAG5697,INTEGRATED,STICKER,NO,CUSTOMER_ALREADY_HAS_TRANSPONDER,Devin,"314 Thomas Throughway Suite 880, South Emma, KS 50546"
IL 681,AL,USA,PERSONAL,False,2013,Subaru	,Im-pre-za,Black,3 Axle,VIDEO,,,,,,,,,
UT 6721,VA,USA,PERSONAL,False,2006,Hyundai,Santa Fe,Green,4 Axle,TAG,False,AGN232,TAG7659,INTEGRATED,MOUNTED,YES,MAIL_TO_CUSTOMER,David,"70615 Austin Road Apt. 310, North Travisshire, WV 75843"
IO 4561,CA,USA,ELECTRIC,False,2020,Nissan,Sen-tra,Red,3 Axle,TAG,False,AGN717,TAG1580,STICKER_TAG,MOUNTED,NO,MAIL_TO_CUSTOMER,Michael,"15102 Smith Park, Tuckermouth, NE 59334"
KE 2333,PA,USA,ELECTRIC,False,2004,Volkswagen,Jetta,Blue,4 Axle,TAG,False,AGN953,TAG9597,HARD_CASE_TAG,MOUNTED,YES,CUSTOMER_ALREADY_HAS_TRANSPONDER,Mark,"2602 Robertson Place, New Christine, WV 11573"
IL 4246,AK,USA,ELECTRIC,True,2017,Toyota,RAV4,Red,6-plus Axles,VIDEO,,,,,,,,,
ID 1834,MD,USA,COMMERCIAL,True,2011,BMW,5 Series,Black,5 Axle,TAG,False,AGN784,TAG6531,HARD_CASE_TAG,STICKER,YES,CUSTOMER_ALREADY_HAS_TRANSPONDER,Cristian,"157 Cook Dam, South Wendyville, AR 71764"
MI 6891,MI,USA,COMMERCIAL,True,2014,BMW,3 Series,Black,3 Axle,TAG,True,AGN303,TAG9401,LICENSE_PLATE_TAG,STICKER,YES,HAND_TO_CUSTOMER,Caroline,"30055 Andrew Mission Apt. 446, New Danielleland, WA 71473"
NE 8411,VA,USA,ELECTRIC,False,2003,Audi,Q5,Blue,5 Axle,TAG,True,AGN270,TAG7025,INTEGRATED,STICKER,NO,CUSTOMER_ALREADY_HAS_TRANSPONDER,Anita,"0599 Tina Oval Suite 524, East Jennifer, TN 54595"
HA 858,NC,USA,COMMERCIAL,False,2011,Kia,Forte,White,3 Axle,VIDEO,,,,,,,,,
KE 2021,NV,USA,PERSONAL,True,2002,Tesla, Model 3,White,5 Axle,TAG,False,AGN388,TAG9038,HARD_CASE_TAG,MOUNTED,YES,HAND_TO_CUSTOMER,Devon,"90334 Clark Crescent, Tracyland, AK 24008"
ID 6694,WA,USA,PERSONAL,True,2012,Audi,A6,Green,5 Axle,TAG,False,AGN553,TAG4135,HARD_CASE_TAG,STICKER,NO,HAND_TO_CUSTOMER,Steve,"8733 Hayes Bypass, Port Mike, PR 52724"
FL 6663,NC,USA,COMMERCIAL,False,2006,Subaru	,Forester,Blue,4 Axle,TAG,False,AGN330,TAG1859,INTEGRATED,STICKER,YES,HAND_TO_CUSTOMER,Cheyenne,"864 Jacob Oval, Joshuamouth, MT 85958"
NE 4645,MI,USA,PERSONAL,True,2006,Honda,Civic,Red,2 Axle,VIDEO,,,,,,,,,
NE 2718,AL,USA,ELECTRIC,False,2002,Mercedes-Benz,C-Class,White,5 Axle,TAG,True,AGN265,TAG6960,INTEGRATED,MOUNTED,NO,HAND_TO_CUSTOMER,Samantha,"64616 Jacob Forest, Josephchester, FL 65380"
RH 6004,MI,USA,COMMERCIAL,True,2001,BMW,3 Series,White,2 Axle,TAG,False,AGN750,TAG5188,STICKER_TAG,STICKER,YES,MAIL_TO_CUSTOMER,Laura,"PSC 3500, Box 8666, APO AE 48769"
CA 2236,OR,USA,ELECTRIC,True,2018,Subaru,WRX,Black,2 Axle,TAG,False,AGN527,TAG5290,HARD_CASE_TAG,MOUNTED,YES,HAND_TO_CUSTOMER,Tammy,"27524 Aaron Drive Apt. 882, Edwardside, ND 68489"
AR 4538,UT,USA,COMMERCIAL,False,2019,Kia,Sport-age,Blue,3 Axle,VIDEO,,,,,,,,,
TE 3815,NC,USA,COMMERCIAL,False,2018,Nissan,Al-tima,Green,5 Axle,TAG,False,AGN176,TAG1500,INTEGRATED,STICKER,NO,MAIL_TO_CUSTOMER,Lauren,"3018 Sonya Hollow Suite 867, Moralesmouth, OK 09922"
NE 8715,NY,USA,PERSONAL,False,2016,Nissan,Pathfinder,White,5 Axle,TAG,True,AGN537,TAG3713,STICKER_TAG,MOUNTED,NO,CUSTOMER_ALREADY_HAS_TRANSPONDER,Travis,"07639 Michelle Manor, Taylortown, IL 33435"
IO 5301,NJ,USA,PERSONAL,True,2018,Volkswagen,Jetta,White,2 Axle,TAG,True,AGN337,TAG6024,INTEGRATED,STICKER,YES,HAND_TO_CUSTOMER,Pamela,"95980 Edwards Stravenue Apt. 632, West Johnnyton, AS 68872"
RH 2355,GA,USA,PERSONAL,True,2017,BMW,5 Series,Black,4 Axle,VIDEO,,,,,,,,,
MA 191,OH,USA,COMMERCIAL,False,2005,Audi,A6,Blue,4 Axle,TAG,False,AGN706,TAG7947,LICENSE_PLATE_TAG,MOUNTED,NO,HAND_TO_CUSTOMER,Andrew,"5966 Joshua Glen, Gonzalezborough, MP 22537"
AL 6148,OH,USA,COMMERCIAL,False,2011,Audi,A4,White,6-plus Axles,TAG,False,AGN214,TAG9482,INTEGRATED,MOUNTED,YES,CUSTOMER_ALREADY_HAS_TRANSPONDER,Erin,"2728 Delgado Village, Whiteborough, MH 72990"
NE 9102,NY,USA,ELECTRIC,False,2002,Honda,HR-V,White,5 Axle,TAG,True,AGN778,TAG2571,LICENSE_PLATE_TAG,MOUNTED,YES,CUSTOMER_ALREADY_HAS_TRANSPONDER,Melissa,"PSC 5266, Box 8077, APO AA 54113"
NO 7056,VA,USA,COMMERCIAL,False,2008,Subaru	,Im-pre-za,White,2 Axle,VIDEO,,,,,,,,,
HA 2397,AL,USA,PERSONAL,True,2020,Ford,Mustang,Black,6-plus Axles,TAG,True,AGN843,TAG7951,HARD_CASE_TAG,STICKER,YES,HAND_TO_CUSTOMER,Andrew,"506 Megan Ports Suite 495, West Rebecca, AL 17820"
WE 4971,TX,USA,PERSONAL,True,2009,Honda,Civic,Green,6-plus Axles,TAG,True,AGN584,TAG9948,STICKER_TAG,STICKER,YES,HAND_TO_CUSTOMER,Daniel,"74957 Hanson Lakes Apt. 037, Lake Jacquelineview, PR 81184"
UT 2842,CA,USA,ELECTRIC,True,2024,Mercedes-Benz,C-Class,Blue,5 Axle,TAG,True,AGN414,TAG3967,STICKER_TAG,STICKER,YES,HAND_TO_CUSTOMER,Paul,"661 Dwayne Junctions, East Raymondstad, DE 65329"
DE 3757,MA,USA,COMMERCIAL,False,2000,Chevrolet,Equinox,Blue,5 Axle,VIDEO,,,,,,,,,
KA 3847,TN,USA,COMMERCIAL,True,2001,Kia,Sport-age,Red,4 Axle,TAG,False,AGN163,TAG8315,LICENSE_PLATE_TAG,STICKER,NO,HAND_TO_CUSTOMER,Travis,"28208 Michael Parkways Apt. 427, West Michaelstad, OR 26730"
IN 8569,AL,USA,COMMERCIAL,False,2008,Hyundai,Sonata,Blue,4 Axle,TAG,True,AGN421,TAG9923,INTEGRATED,MOUNTED,YES,CUSTOMER_ALREADY_HAS_TRANSPONDER,Ryan,"60028 Whitehead Isle Apt. 961, Smithfurt, CA 93893"
TE 9212,GA,USA,PERSONAL,False,2003,Volkswagen,Pass-at,Blue,4 Axle,TAG,False,AGN696,TAG1740,INTEGRATED,MOUNTED,YES,HAND_TO_CUSTOMER,Dustin,"32603 Gomez Cove Suite 776, Lake Mercedes, VI 75939"
VI 1838,PA,USA,COMMERCIAL,False,2011,Toyota,RAV4,Blue,5 Axle,VIDEO,,,,,,,,,
AR 1378,WA,USA,ELECTRIC,True,2006,BMW,3 Series,Black,6-plus Axles,TAG,False,AGN328,TAG2468,STICKER_TAG,STICKER,NO,MAIL_TO_CUSTOMER,Mercedes,"685 Johnson Cliffs, North Patricia, WI 44608"
MI 8782,TN,USA,PERSONAL,True,2020,Toyota,Camry,Green,3 Axle,TAG,False,AGN190,TAG1559,INTEGRATED,MOUNTED,NO,CUSTOMER_ALREADY_HAS_TRANSPONDER,Scott,"PSC 1947, Box 3765, APO AA 33456"
VI 2645,WA,USA,COMMERCIAL,False,2016,BMW,3 Series,Green,6-plus Axles,TAG,False,AGN132,TAG2350,LICENSE_PLATE_TAG,STICKER,YES,CUSTOMER_ALREADY_HAS_TRANSPONDER,Jeanne,"6726 Willis Stravenue, Port Kennethhaven, IL 76793"
AR 9358,MD,USA,COMMERCIAL,False,2019,Nissan,Sen-tra,Green,4 Axle,VIDEO,,,,,,,,,
MA 1978,TN,USA,ELECTRIC,True,2009,Chevrolet,Silverado,Black,2 Axle,TAG,True,AGN421,TAG6332,INTEGRATED,MOUNTED,NO,HAND_TO_CUSTOMER,John,"57710 Peter Branch Apt. 098, Daniellehaven, ID 74819"
IO 7950,OH,USA,COMMERCIAL,False,2005,Subaru	,Cross-trek,White,2 Axle,TAG,False,AGN218,TAG4341,LICENSE_PLATE_TAG,STICKER,YES,HAND_TO_CUSTOMER,Paul,"92579 Charles Hill, Kimberlybury, IL 01005"
MO 4743,WA,USA,COMMERCIAL,True,2001,Tesla, Model 3,Red,6-plus Axles,TAG,True,AGN239,TAG8541,HARD_CASE_TAG,MOUNTED,NO,HAND_TO_CUSTOMER,Samantha,"74499 Carol Orchard, Angelafurt, OR 63635"
WI 584,CA,USA,ELECTRIC,True,2008,BMW,X3,White,6-plus Axles,VIDEO,,,,,,,,,
AL 5758,AK,USA,ELECTRIC,True,2001,Tesla,Model Y,Black,6-plus Axles,TAG,True,AGN727,TAG5174,LICENSE_PLATE_TAG,STICKER,NO,MAIL_TO_CUSTOMER,Jeffrey,"912 Brian Squares Apt. 239, West Donald, VT 29499"
MI 5939,TN,USA,COMMERCIAL,False,2005,Hyundai,Santa Fe,White,2 Axle,TAG,False,AGN854,TAG6744,LICENSE_PLATE_TAG,MOUNTED,YES,MAIL_TO_CUSTOMER,Stacy,"706 Cynthia Islands Apt. 395, Laurafort, CO 10767"
MI 1579,TN,USA,PERSONAL,True,2012,Mercedes-Benz,GLE,Blue,4 Axle,TAG,True,AGN224,TAG5963,LICENSE_PLATE_TAG,STICKER,YES,CUSTOMER_ALREADY_HAS_TRANSPONDER,Blake,"307 Mcgee Field Suite 982, East Michael, ND 99122"
IO 6949,CO,USA,ELECTRIC,True,2008,Subaru	,Im-pre-za,Red,6-plus Axles,VIDEO,,,,,,,,,
MA 5892,AK,USA,ELECTRIC,False,2000,Kia,Sport-age,Black,2 Axle,TAG,True,AGN654,TAG8127,INTEGRATED,STICKER,NO,HAND_TO_CUSTOMER,Tyler,"392 Katherine Mews, West Jasonland, AK 88132"
MI 5741,MI,USA,COMMERCIAL,True,2001,Subaru	,Im-pre-za,White,6-plus Axles,TAG,False,AGN451,TAG1391,HARD_CASE_TAG,MOUNTED,YES,MAIL_TO_CUSTOMER,Cole,"551 Christine Park, Jenniferville, NM 72923"
GE 381,NC,USA,PERSONAL,False,2009,Lexus,ES,Green,4 Axle,TAG,False,AGN716,TAG1531,LICENSE_PLATE_TAG,STICKER,NO,MAIL_TO_CUSTOMER,Tonya,"5671 Pruitt Lights Apt. 442, Carlaview, GA 26394"
NE 1675,MA,USA,ELECTRIC,False,2010,Chevrolet,Corvette,Red,3 Axle,VIDEO,,,,,,,,,
AR 5214,NC,USA,ELECTRIC,False,2013,Audi,Q5,Green,3 Axle,TAG,False,AGN380,TAG5273,LICENSE_PLATE_TAG,MOUNTED,NO,HAND_TO_CUSTOMER,Mary,"7814 Miller Extension, Francischester, NE 69211"
AL 3620,AZ,USA,PERSONAL,False,2012,Subaru,Ascent,Green,3 Axle,TAG,False,AGN928,TAG2079,HARD_CASE_TAG,MOUNTED,YES,HAND_TO_CUSTOMER,John,"992 Heather Avenue Apt. 589, Davisfurt, IN 93417"
NE 5159,MI,USA,ELECTRIC,True,2021,Audi,A6,Blue,3 Axle,TAG,True,AGN260,TAG6110,INTEGRATED,MOUNTED,YES,MAIL_TO_CUSTOMER,James,"448 Daniel Terrace, Thomasburgh, OR 50556"
MI 6259,TN,USA,PERSONAL,False,2011,Subaru	,Cross-trek,Black,5 Axle,VIDEO,,,,,,,,,
AR 2587,IL,USA,PERSONAL,True,2023,Subaru,WRX,White,3 Axle,TAG,True,AGN830,TAG6387,LICENSE_PLATE_TAG,STICKER,YES,MAIL_TO_CUSTOMER,Courtney,"13852 Tamara Prairie, Penningtonmouth, AR 53580"
AL 5754,AZ,USA,COMMERCIAL,False,2023,Honda,Civic,Green,3 Axle,TAG,True,AGN481,TAG8761,STICKER_TAG,STICKER,YES,CUSTOMER_ALREADY_HAS_TRANSPONDER,Dana,"4624 Davis Falls Suite 156, Port Chadport, VI 27079"
CA 3668,NY,USA,COMMERCIAL,True,2010,BMW,X5,Blue,6-plus Axles,TAG,False,AGN699,TAG9593,HARD_CASE_TAG,MOUNTED,YES,MAIL_TO_CUSTOMER,Jonathan,"127 Becker Lake, East Leah, TN 92965"
AL 2999,IL,USA,PERSONAL,False,2003,Subaru	,Outback,Red,3 Axle,VIDEO,,,,,,,,,
MI 4145,MI,USA,PERSONAL,True,2006,Hyundai,Sonata,Green,2 Axle,TAG,False,AGN724,TAG2457,STICKER_TAG,MOUNTED,NO,HAND_TO_CUSTOMER,Michelle,"00219 Bishop Mountains, Josephberg, DC 70912"
SO 1315,AL,USA,COMMERCIAL,True,2020,Subaru	,Im-pre-za,White,4 Axle,TAG,True,AGN168,TAG6131,HARD_CASE_TAG,MOUNTED,YES,MAIL_TO_CUSTOMER,Phillip,"95125 Jennifer Fords, South Heatherside, IN 80851"
IL 3800,MA,USA,ELECTRIC,True,2018,Toyota,Corolla,Green,5 Axle,TAG,True,AGN834,TAG4824,INTEGRATED,MOUNTED,YES,MAIL_TO_CUSTOMER,David,"91372 Joshua Shoal, Shannonfurt, MO 83452"
KA 6308,AL,USA,PERSONAL,True,2000,Honda,Civic,White,3 Axle,VIDEO,,,,,,,,,
FL 9399,MD,USA,ELECTRIC,False,2023,Honda,HR-V,Green,4 Axle,TAG,False,AGN918,TAG2776,STICKER_TAG,MOUNTED,YES,HAND_TO_CUSTOMER,Megan,"25438 Brooke Gateway Apt. 803, Port Wendystad, KY 73866"
SO 8884,NV,USA,COMMERCIAL,False,2002,Subaru	,Im-pre-za,White,3 Axle,TAG,False,AGN885,TAG9609,INTEGRATED,STICKER,NO,MAIL_TO_CUSTOMER,Karl,"12432 Edwards Knoll Apt. 273, Tapiaview, VT 92880"
NE 1600,AZ,USA,ELECTRIC,True,2013,BMW,X3,Black,3 Axle,TAG,False,AGN308,TAG4767,INTEGRATED,STICKER,YES,HAND_TO_CUSTOMER,Anthony,"072 Hall Station, Walkerberg, UT 92830"
NE 2972,OH,USA,ELECTRIC,False,2017,Hyundai,Sonata,White,4 Axle,VIDEO,,,,,,,,,
CO 744,UT,USA,ELECTRIC,True,2000,Kia,Optima,Black,5 Axle,TAG,True,AGN120,TAG4176,STICKER_TAG,STICKER,NO,HAND_TO_CUSTOMER,Kevin,"58961 Adkins Mountain, Port Christine, IA 42684"
NE 838,VA,USA,COMMERCIAL,True,2002,Ford,Explorer,White,5 Axle,TAG,False,AGN550,TAG1217,STICKER_TAG,MOUNTED,NO,MAIL_TO_CUSTOMER,Erin,"13687 Brown Via, North Brandonshire, NC 96832"
VE 9482,GA,USA,ELECTRIC,False,2008,Audi,Q5,Red,5 Axle,TAG,False,AGN800,TAG3082,HARD_CASE_TAG,MOUNTED,NO,MAIL_TO_CUSTOMER,Jennifer,"18081 Rebecca Stravenue, Daughertyburgh, AL 04588"
NE 366,NJ,USA,ELECTRIC,False,2011,Tesla,Model Y,Green,3 Axle,VIDEO,,,,,,,,,
